code,name,definition,icd_tm2,icd_biomed,ayush_system
A315,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_061,BIO_091,Siddha
A316,Diabetes,Parasitic infection spread by mosquitoes.,TM2_043,BIO_049,Yoga
A317,Arthritis,Deficiency of red blood cells or hemoglobin.,TM2_032,BIO_045,Siddha
A318,Cough,A common viral infection causing fever and weakness.,TM2_061,BIO_025,Ayurveda
A319,Hypertension,A common viral infection causing fever and weakness.,TM2_044,BIO_019,Siddha
A320,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_100,BIO_002,Homeopathy
A321,Malaria,A neurological condition causing severe headaches.,TM2_092,BIO_027,Unani
A322,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_082,BIO_001,Ayurveda
A323,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_029,BIO_023,Homeopathy
A324,Asthma,A chronic disease affecting the respiratory system.,TM2_022,BIO_067,Siddha
A325,Fever,A respiratory condition marked by coughing and irritation.,TM2_014,BIO_080,Ayurveda
A326,Asthma,A condition involving high blood pressure over a long period.,TM2_061,BIO_054,Yoga
A327,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_093,BIO_074,Siddha
A328,Malaria,A respiratory condition marked by coughing and irritation.,TM2_082,BIO_063,Ayurveda
A329,Malaria,A condition involving high blood pressure over a long period.,TM2_082,BIO_012,Siddha
A330,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_077,BIO_068,Homeopathy
A331,Arthritis,A respiratory condition marked by coughing and irritation.,TM2_075,BIO_034,Siddha
A332,Fever,A metabolic disorder characterized by high blood sugar levels.,TM2_039,BIO_064,Ayurveda
A333,Tuberculosis,A common viral infection causing fever and weakness.,TM2_005,BIO_087,Siddha
A334,Tuberculosis,A common viral infection causing fever and weakness.,TM2_059,BIO_063,Yoga
A335,Arthritis,A common viral infection causing fever and weakness.,TM2_060,BIO_035,Siddha
A336,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_005,BIO_053,Siddha
A337,Fever,Joint inflammation leading to pain and stiffness.,TM2_092,BIO_004,Ayurveda
A338,Tuberculosis,A condition involving high blood pressure over a long period.,TM2_082,BIO_022,Unani
A339,Asthma,A condition involving high blood pressure over a long period.,TM2_096,BIO_036,Yoga
A340,Hypertension,A chronic disease affecting the respiratory system.,TM2_013,BIO_011,Unani
A341,Fever,A respiratory condition marked by coughing and irritation.,TM2_061,BIO_053,Siddha
A342,Malaria,A neurological condition causing severe headaches.,TM2_005,BIO_086,Siddha
A343,Asthma,A condition involving high blood pressure over a long period.,TM2_090,BIO_041,Ayurveda
A344,Cough,Deficiency of red blood cells or hemoglobin.,TM2_054,BIO_078,Homeopathy
A345,Cough,A respiratory condition marked by coughing and irritation.,TM2_039,BIO_005,Homeopathy
A346,Asthma,Deficiency of red blood cells or hemoglobin.,TM2_071,BIO_044,Unani
A347,Migraine,Joint inflammation leading to pain and stiffness.,TM2_036,BIO_047,Unani
A348,Fever,A respiratory condition marked by coughing and irritation.,TM2_028,BIO_100,Ayurveda
A349,Malaria,A respiratory condition marked by coughing and irritation.,TM2_057,BIO_011,Unani
A350,Fever,A common viral infection causing fever and weakness.,TM2_032,BIO_075,Ayurveda
A351,Migraine,A respiratory condition marked by coughing and irritation.,TM2_060,BIO_041,Homeopathy
A352,Malaria,Parasitic infection spread by mosquitoes.,TM2_061,BIO_022,Yoga
A353,Fever,A respiratory condition marked by coughing and irritation.,TM2_074,BIO_006,Yoga
A354,Fever,Inflammation of airways causing difficulty in breathing.,TM2_039,BIO_054,Yoga
A355,Migraine,A condition involving high blood pressure over a long period.,TM2_040,BIO_019,Unani
A356,Malaria,Inflammation of airways causing difficulty in breathing.,TM2_012,BIO_067,Unani
A357,Diabetes,Parasitic infection spread by mosquitoes.,TM2_019,BIO_056,Unani
A358,Hypertension,A chronic disease affecting the respiratory system.,TM2_031,BIO_052,Unani
A359,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_067,BIO_050,Ayurveda
A360,Asthma,A respiratory condition marked by coughing and irritation.,TM2_031,BIO_071,Homeopathy
A361,Migraine,A neurological condition causing severe headaches.,TM2_056,BIO_060,Ayurveda
A362,Migraine,Parasitic infection spread by mosquitoes.,TM2_033,BIO_067,Unani
A363,Arthritis,A common viral infection causing fever and weakness.,TM2_057,BIO_060,Ayurveda
A364,Malaria,A neurological condition causing severe headaches.,TM2_076,BIO_080,Yoga
A365,Malaria,A neurological condition causing severe headaches.,TM2_083,BIO_016,Yoga
A366,Malaria,Parasitic infection spread by mosquitoes.,TM2_031,BIO_038,Siddha
A367,Diabetes,Parasitic infection spread by mosquitoes.,TM2_052,BIO_012,Unani
A368,Arthritis,A chronic disease affecting the respiratory system.,TM2_063,BIO_036,Unani
A369,Arthritis,Inflammation of airways causing difficulty in breathing.,TM2_030,BIO_063,Homeopathy
A370,Diabetes,A neurological condition causing severe headaches.,TM2_032,BIO_054,Yoga
A371,Fever,A chronic disease affecting the respiratory system.,TM2_081,BIO_035,Unani
A372,Fever,A respiratory condition marked by coughing and irritation.,TM2_005,BIO_027,Yoga
A373,Malaria,A respiratory condition marked by coughing and irritation.,TM2_013,BIO_057,Unani
A374,Asthma,A chronic disease affecting the respiratory system.,TM2_040,BIO_083,Homeopathy
A375,Malaria,Parasitic infection spread by mosquitoes.,TM2_051,BIO_063,Unani
A376,Hypertension,A neurological condition causing severe headaches.,TM2_067,BIO_036,Homeopathy
A377,Cough,Deficiency of red blood cells or hemoglobin.,TM2_031,BIO_060,Ayurveda
A378,Hypertension,A condition involving high blood pressure over a long period.,TM2_082,BIO_059,Homeopathy
A379,Anemia,Joint inflammation leading to pain and stiffness.,TM2_026,BIO_073,Ayurveda
A380,Asthma,A condition involving high blood pressure over a long period.,TM2_009,BIO_080,Siddha
A381,Fever,A respiratory condition marked by coughing and irritation.,TM2_023,BIO_061,Yoga
A382,Fever,Joint inflammation leading to pain and stiffness.,TM2_018,BIO_076,Ayurveda
A383,Anemia,Parasitic infection spread by mosquitoes.,TM2_052,BIO_006,Unani
A384,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_048,BIO_053,Ayurveda
A385,Fever,A condition involving high blood pressure over a long period.,TM2_030,BIO_022,Unani
A386,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_099,BIO_028,Yoga
A387,Asthma,A metabolic disorder characterized by high blood sugar levels.,TM2_034,BIO_096,Unani
A388,Arthritis,A respiratory condition marked by coughing and irritation.,TM2_100,BIO_063,Homeopathy
A389,Arthritis,Inflammation of airways causing difficulty in breathing.,TM2_065,BIO_084,Unani
A390,Migraine,Joint inflammation leading to pain and stiffness.,TM2_042,BIO_086,Homeopathy
A391,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_064,BIO_009,Yoga
A392,Fever,A condition involving high blood pressure over a long period.,TM2_035,BIO_074,Homeopathy
A393,Migraine,A common viral infection causing fever and weakness.,TM2_073,BIO_002,Yoga
A394,Fever,A chronic disease affecting the respiratory system.,TM2_011,BIO_022,Siddha
A395,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_030,BIO_078,Yoga
A396,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_059,BIO_045,Ayurveda
A397,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_013,BIO_026,Siddha
A398,Arthritis,A neurological condition causing severe headaches.,TM2_008,BIO_079,Ayurveda
A399,Fever,A neurological condition causing severe headaches.,TM2_018,BIO_037,Ayurveda
A400,Asthma,Joint inflammation leading to pain and stiffness.,TM2_020,BIO_077,Unani
A401,Diabetes,A chronic disease affecting the respiratory system.,TM2_015,BIO_012,Ayurveda
A402,Malaria,Joint inflammation leading to pain and stiffness.,TM2_098,BIO_040,Unani
A403,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_060,BIO_024,Unani
A404,Anemia,A chronic disease affecting the respiratory system.,TM2_010,BIO_061,Homeopathy
A405,Fever,A common viral infection causing fever and weakness.,TM2_096,BIO_088,Ayurveda
A406,Arthritis,A common viral infection causing fever and weakness.,TM2_030,BIO_048,Unani
A407,Cough,Joint inflammation leading to pain and stiffness.,TM2_070,BIO_038,Ayurveda
A408,Diabetes,Parasitic infection spread by mosquitoes.,TM2_018,BIO_020,Ayurveda
A409,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_016,BIO_018,Unani
A410,Anemia,Parasitic infection spread by mosquitoes.,TM2_029,BIO_049,Ayurveda
A411,Cough,A common viral infection causing fever and weakness.,TM2_065,BIO_092,Siddha
A412,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_057,BIO_079,Yoga
A413,Tuberculosis,A common viral infection causing fever and weakness.,TM2_064,BIO_077,Yoga
A414,Cough,Joint inflammation leading to pain and stiffness.,TM2_027,BIO_039,Unani
A415,Malaria,Inflammation of airways causing difficulty in breathing.,TM2_041,BIO_084,Ayurveda
A416,Malaria,A common viral infection causing fever and weakness.,TM2_067,BIO_052,Yoga
A417,Asthma,Parasitic infection spread by mosquitoes.,TM2_052,BIO_021,Unani
A418,Diabetes,Inflammation of airways causing difficulty in breathing.,TM2_087,BIO_001,Siddha
A419,Tuberculosis,A common viral infection causing fever and weakness.,TM2_069,BIO_079,Ayurveda
A420,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_025,BIO_016,Yoga
A421,Fever,A metabolic disorder characterized by high blood sugar levels.,TM2_055,BIO_030,Homeopathy
A422,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_023,BIO_030,Yoga
A423,Hypertension,A common viral infection causing fever and weakness.,TM2_054,BIO_059,Unani
A424,Malaria,A condition involving high blood pressure over a long period.,TM2_022,BIO_083,Yoga
A425,Diabetes,A condition involving high blood pressure over a long period.,TM2_020,BIO_015,Unani
A426,Arthritis,A neurological condition causing severe headaches.,TM2_061,BIO_070,Siddha
A427,Malaria,Parasitic infection spread by mosquitoes.,TM2_041,BIO_050,Homeopathy
A428,Asthma,Deficiency of red blood cells or hemoglobin.,TM2_037,BIO_055,Yoga
A429,Tuberculosis,A chronic disease affecting the respiratory system.,TM2_080,BIO_061,Homeopathy
A430,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_045,BIO_061,Siddha
A431,Asthma,Inflammation of airways causing difficulty in breathing.,TM2_016,BIO_072,Unani
A432,Anemia,A neurological condition causing severe headaches.,TM2_092,BIO_050,Yoga
A433,Tuberculosis,A common viral infection causing fever and weakness.,TM2_076,BIO_099,Yoga
A434,Asthma,A condition involving high blood pressure over a long period.,TM2_070,BIO_068,Yoga
A435,Cough,A condition involving high blood pressure over a long period.,TM2_048,BIO_071,Homeopathy
A436,Migraine,A chronic disease affecting the respiratory system.,TM2_046,BIO_073,Homeopathy
A437,Diabetes,Inflammation of airways causing difficulty in breathing.,TM2_035,BIO_099,Ayurveda
A438,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_043,BIO_060,Siddha
A439,Cough,Deficiency of red blood cells or hemoglobin.,TM2_036,BIO_093,Unani
A440,Malaria,A metabolic disorder characterized by high blood sugar levels.,TM2_039,BIO_019,Yoga
A441,Fever,A chronic disease affecting the respiratory system.,TM2_009,BIO_027,Ayurveda
A442,Anemia,Joint inflammation leading to pain and stiffness.,TM2_096,BIO_021,Siddha
A443,Arthritis,A chronic disease affecting the respiratory system.,TM2_001,BIO_018,Ayurveda
A444,Hypertension,A neurological condition causing severe headaches.,TM2_066,BIO_011,Homeopathy
A445,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_030,BIO_076,Homeopathy
A446,Asthma,Joint inflammation leading to pain and stiffness.,TM2_057,BIO_097,Homeopathy
A447,Cough,Joint inflammation leading to pain and stiffness.,TM2_064,BIO_046,Ayurveda
A448,Migraine,Joint inflammation leading to pain and stiffness.,TM2_003,BIO_060,Siddha
A449,Malaria,A neurological condition causing severe headaches.,TM2_034,BIO_051,Ayurveda
A450,Asthma,Parasitic infection spread by mosquitoes.,TM2_007,BIO_019,Yoga
A451,Fever,A respiratory condition marked by coughing and irritation.,TM2_049,BIO_026,Siddha
A452,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_095,BIO_069,Siddha
A453,Anemia,A chronic disease affecting the respiratory system.,TM2_095,BIO_088,Homeopathy
A454,Tuberculosis,A chronic disease affecting the respiratory system.,TM2_067,BIO_015,Yoga
A455,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_080,BIO_029,Siddha
A456,Diabetes,A condition involving high blood pressure over a long period.,TM2_004,BIO_041,Unani
A457,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_059,BIO_019,Ayurveda
A458,Cough,A chronic disease affecting the respiratory system.,TM2_098,BIO_098,Ayurveda
A459,Arthritis,Deficiency of red blood cells or hemoglobin.,TM2_081,BIO_097,Homeopathy
A460,Fever,Joint inflammation leading to pain and stiffness.,TM2_028,BIO_073,Ayurveda
A461,Fever,Joint inflammation leading to pain and stiffness.,TM2_022,BIO_024,Ayurveda
A462,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_016,BIO_065,Yoga
A463,Diabetes,A common viral infection causing fever and weakness.,TM2_059,BIO_043,Siddha
A464,Diabetes,A common viral infection causing fever and weakness.,TM2_080,BIO_073,Unani
A465,Cough,Parasitic infection spread by mosquitoes.,TM2_084,BIO_007,Homeopathy
A466,Arthritis,A common viral infection causing fever and weakness.,TM2_051,BIO_099,Siddha
A467,Arthritis,A neurological condition causing severe headaches.,TM2_071,BIO_061,Ayurveda
A468,Cough,A condition involving high blood pressure over a long period.,TM2_099,BIO_045,Yoga
A469,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_052,BIO_025,Homeopathy
A470,Malaria,A respiratory condition marked by coughing and irritation.,TM2_068,BIO_008,Ayurveda
A471,Diabetes,A neurological condition causing severe headaches.,TM2_078,BIO_067,Unani
A472,Malaria,A respiratory condition marked by coughing and irritation.,TM2_022,BIO_032,Unani
A473,Diabetes,Parasitic infection spread by mosquitoes.,TM2_019,BIO_061,Yoga
A474,Asthma,A metabolic disorder characterized by high blood sugar levels.,TM2_036,BIO_055,Homeopathy
A475,Asthma,Deficiency of red blood cells or hemoglobin.,TM2_010,BIO_023,Yoga
A476,Arthritis,A respiratory condition marked by coughing and irritation.,TM2_068,BIO_068,Ayurveda
A477,Asthma,Inflammation of airways causing difficulty in breathing.,TM2_034,BIO_016,Yoga
A478,Diabetes,A respiratory condition marked by coughing and irritation.,TM2_088,BIO_084,Yoga
A479,Tuberculosis,A condition involving high blood pressure over a long period.,TM2_036,BIO_019,Unani
A480,Arthritis,A respiratory condition marked by coughing and irritation.,TM2_035,BIO_078,Siddha
A481,Malaria,A metabolic disorder characterized by high blood sugar levels.,TM2_028,BIO_057,Yoga
A482,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_036,BIO_099,Ayurveda
A483,Asthma,Joint inflammation leading to pain and stiffness.,TM2_063,BIO_062,Ayurveda
A484,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_052,BIO_028,Yoga
A485,Malaria,A respiratory condition marked by coughing and irritation.,TM2_075,BIO_007,Unani
A486,Tuberculosis,Joint inflammation leading to pain and stiffness.,TM2_060,BIO_083,Ayurveda
A487,Cough,A common viral infection causing fever and weakness.,TM2_054,BIO_061,Homeopathy
A488,Asthma,A condition involving high blood pressure over a long period.,TM2_098,BIO_064,Yoga
A489,Hypertension,Inflammation of airways causing difficulty in breathing.,TM2_079,BIO_029,Homeopathy
A490,Fever,A respiratory condition marked by coughing and irritation.,TM2_025,BIO_020,Unani
A491,Hypertension,A chronic disease affecting the respiratory system.,TM2_086,BIO_006,Siddha
A492,Fever,Deficiency of red blood cells or hemoglobin.,TM2_014,BIO_094,Siddha
A493,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_007,BIO_053,Unani
A494,Diabetes,Parasitic infection spread by mosquitoes.,TM2_099,BIO_060,Ayurveda
A495,Anemia,A neurological condition causing severe headaches.,TM2_098,BIO_011,Unani
A496,Asthma,A common viral infection causing fever and weakness.,TM2_055,BIO_040,Ayurveda
A497,Hypertension,A condition involving high blood pressure over a long period.,TM2_005,BIO_079,Ayurveda
A498,Cough,Deficiency of red blood cells or hemoglobin.,TM2_036,BIO_075,Homeopathy
A499,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_036,BIO_020,Ayurveda
A500,Anemia,A chronic disease affecting the respiratory system.,TM2_054,BIO_071,Yoga
